https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1673136000,2023-01-08 00:00:00,BTC/USDT,16955,17158,16914,17114,23.53883582,402843.63622348
1673049600,2023-01-07 00:00:00,BTC/USDT,16948,16974,16906,16947,45.79184703,776034.43161741
1672963200,2023-01-06 00:00:00,BTC/USDT,16835,17020,16689,16949,53.63882555,909124.45424695
1672876800,2023-01-05 00:00:00,BTC/USDT,16859,16879,16764,16833,79.47422517,1337789.6322866098
1672790400,2023-01-04 00:00:00,BTC/USDT,16672,16988,16662,16849,43.18099291,727556.54954059
1672704000,2023-01-03 00:00:00,BTC/USDT,16670,16766,15000,16678,85.41399463,1424534.60243914
1672617600,2023-01-02 00:00:00,BTC/USDT,16600,16768,16561,16674,7.40903218,123538.20256932
1672531200,2023-01-01 00:00:00,BTC/USDT,16540,16626,16505,16609,5.63760363,93634.95869067
1672444800,2022-12-31 00:00:00,BTC/USDT,16571,16635,16493,16540,18.80770997,311079.5229038
1672358400,2022-12-30 00:00:00,BTC/USDT,16636,16678,16354,16609,20.85194721,346329.99121089
1672272000,2022-12-29 00:00:00,BTC/USDT,16552,16658,16506,16639,20.07846621,334085.59926819
1672185600,2022-12-28 00:00:00,BTC/USDT,16707,16759,16455,16547,12.88286897,213172.83284659
1672099200,2022-12-27 00:00:00,BTC/USDT,16920,16966,16613,16700,12.21760948,204034.078316
1672012800,2022-12-26 00:00:00,BTC/USDT,16836,16943,16803,16920,13.32545853,225466.75832760002
1671926400,2022-12-25 00:00:00,BTC/USDT,16838,16848,16726,16824,7.20477873,121213.19735352001
1671840000,2022-12-24 00:00:00,BTC/USDT,16801,16856,16801,16838,8.77567199,147764.76496762
1671753600,2022-12-23 00:00:00,BTC/USDT,16821,16929,16738,16782,16.03131965,269037.6063663
1671667200,2022-12-22 00:00:00,BTC/USDT,16826,16857,16578,16828,59.29577511,997829.30355108
1671580800,2022-12-21 00:00:00,BTC/USDT,16891,16915,16737,16834,68.47582763,1152722.0823234199
1671494400,2022-12-20 00:00:00,BTC/USDT,16432,17059,16408,16893,63.43521511,1071611.08885323
1671408000,2022-12-19 00:00:00,BTC/USDT,16743,16811,16244,16425,22.54681772,370331.481051
1671321600,2022-12-18 00:00:00,BTC/USDT,16786,16825,16668,16743,9.55310658,159947.66346894
1671235200,2022-12-17 00:00:00,BTC/USDT,16628,16795,16586,16784,47.20680712,792319.05070208
1671148800,2022-12-16 00:00:00,BTC/USDT,17355,17534,16540,16627,134.93535401,2243570.13112427
1671062400,2022-12-15 00:00:00,BTC/USDT,17806,17897,17294,17354,280.93633170,4875369.1003217995
